URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://travelroom.lviv.ua/tour/213/,Париж,4,Сніданок,Сьогодні ми вирушимо на узбережжя Нормандії до дивовижної Етрети (50€); У вільний час можна відвідати інстаграмні сади Етрети (20€); ер 40€) або один із найвідоміших ландшафтних парків Франції – cад Моне в Живерні (35€); Запрошуємо на екскурсію Кварталом Маре (30€); 19:30 – Трансфер до інста-локацій (20€),"Сніданок. Сьогодні ми вирушимо на узбережжя Нормандії до дивовижної Етрети (50€). Білосніжні скелі над морем постають, немов ожилі фрагменти полотен Моне. Тут дихається глибше й мріється сміливіше, бо краса торкається так сильно, що хочеться зберегти це відчуття й пронести його зі спогадами надовго. Шум хвиль і крики чайок зливаються в мелодію абсолютної безтурботності, а кожен подих вітру з легким бризом змиває турботи, залишаючи відчуття відновлення та нескінченного щастя. У вільний час можна відвідати інстаграмні сади Етрети (20€), колиску імпресіоністів Онфлер (трансфер 40€) або один із на",600
https://travelroom.lviv.ua/tour/213/,Париж,5,Сніданок,Рекомендуємо: • піднятись на вежу Монпарнас (20€); • відправитись в круїз по Сені (20€); 5€) • прогулятись островом Сіте захоплюватись нескореним перед вогнем Нотр-Дамом (20€),"Сніданок. Вільний час в Парижі. Рекомендуємо: • піднятись на вежу Монпарнас (20€) • відправитись в круїз по Сені (20€) • резиденцію французьких монархів «Версаль – краса і велич королів» (трансфер – 25€) • прогулятись островом Сіте захоплюватись нескореним перед вогнем Нотр-Дамом (20€). 16:30 – виїзд з Парижу. Переїзд в Страсбург, поселення і ночівля в готелі.",362
https://travelroom.lviv.ua/tour/213/,Париж,6,Сніданок,У вільний час рекомендуємо Кольмар – найбільш інстаграмне місто Ельзасу (35€),"Сніданок. Виселення з готелю. Ранкова екскурсія «Страсбург – чарівна столиця Ельзасу». Прогулянка милим французьким містом, що доповнене німецьким колоритом. У Страсбурзі народжуються закони Євросоюзу, а головною родзинкою є історичний центр “Маленька Франція”, який занесений до культурної спадщини ЮНЕСКО. У вільний час рекомендуємо Кольмар – найбільш інстаграмне місто Ельзасу (35€), яке зберегло свою культуру та архітектуру попри світові війни. Квартал під назвою «Маленька Венеція» перенесе нас у світ казки. Переїзд, поселення і ночівля в готелі.",553
https://travelroom.lviv.ua/tour/213/,Париж,7,Сніданок,,"Сніданок. Виселення з готелю. Дорогою в Україну ми зробимо зупинку в Тарнуві , щоб випити кави в затишному кафе, зайти до супермаркету, прогулятись вуличками і насолодитись атмосферою спокійного міста. Ми віримо, що скоро таким затишним і спокійним буде кожне місто нашої України. З новими силами, з позитивними емоціями ми повернемось в Україну. 23:30 -02:00 Прибуття у Львів. До нових зустрічей!",397
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,1,Львів,,"Львів. 05:30 – виїзд зі Львова. Проходження кордону. 12:00 – Оглядова екскурсія «Королівський Краків». Своєю неповторністю місто зобов’язане чудовій архітектурі, яка відноситься ще до тих часів, коли Краків був столицею, а Вавель – родовим гніздом польських королів. Водночас Краків затишне і «домашнє» місто. Переїзд в Чехію. Поселення і ночівля в готелі.",356
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,2,Сніданок,,"Сніданок. Виселення з готелю. Переїзд Німеччиною. Дорогою зробимо фотопаузу біля замку Траусніц . Його стратегічне розташування на пагорбі забезпечувало чудовий огляд місцевості, що було важливим у ті часи, а зараз дозволяє насолодитися мальовничими краєвидами Верхнього Пфальцу. Переїзд в Ротенбург-об-дер-Таубер – найбільш романтичне місто Німеччини, якому двічі дуже пощастило, а мегаполіси заздрять його кінокар’єрі. Місту більше тисячі років. Його будинки зберегли казковий вигляд, однаково декоровані оранжевими дахами, а магія Середньовіччя відчувається у кожному камені. Екскурсія містом і ві",600
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,3,Сніданок,ли б ви не приїхали – тут справжня насолода для очей та інстаграмних фотографій! (30€); У вільний час рекомендуємо: • «Велич Рейнського водоспаду» (35€); • трансфер у Констанц (15€); • «Ласкаво просимо у Швейцарію» (40€),"Сніданок. Виселення з готелю. Подорож в Королівство Весни – квітковий острів Майнау . Сонце, хвилі, смарагдова вода Перед нами – не Лазурове узбережжя, як може здатися на перший погляд, а німецький острів Майнау на Боденському озері. Ранні первоцвіти і тюльпани передадуть естафету трояндам і орхідеям, але коли б ви не приїхали – тут справжня насолода для очей та інстаграмних фотографій! (30€). У вільний час рекомендуємо: • «Велич Рейнського водоспаду» (35€). Постояти на вершині найбільшого водоспаду Європи, всім тілом відчуваючи гуркіт і вібрацію бурхливого потоку. Антистрес, краса і енергія. ",600
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,4,Сніданок,Рекомендуємо на вибір: • Прогулянку на кораблику по фйорд у (35€); • «Над хмарами» (45€); • «Мелодія Зальцбурга» (25€),"Сніданок. Виселення з готелю. Переїзд в національний парк Берхтесгаден – єдиний високогірний парк в німецьких Альпах. Зупинимось біля Королівського фйорду – Кенігзее, смарагдового озера в оправі гір. Рекомендуємо на вибір: • Прогулянку на кораблику по фйорд у (35€) • «Над хмарами» (45€) – піднятись на вершину Баварських Альп, з панорамою на гору Вацман – третю за висотою вершину в Німеччині. Багато століть вона була джерелом натхнення для художників і поетів. • «Мелодія Зальцбурга» (25€). Тут народився великий Моцарт, тут звуки класичної музики витають в повітрі поміж вузеньких вуличок, де чис",600
https://travelroom.lviv.ua/tour/215/,Весна на острові Майнау,5,Сніданок,,"Сніданок. Виселення з готелю. Дорогою в Україну ми зробимо зупинку в Тарнуві , щоб випити кави в затишному кафе, зайти до супермаркету, прогулятись вуличками і насолодитись атмосферою спокійного міста. Ми віримо, що скоро таким затишним і спокійним буде кожне місто нашої України. З новими силами, з позитивними емоціями ми повернемось в Україну. 23:30 -02:00 Прибуття у Львів. До нових зустрічей!",397
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,1,"Автобус, зустріч, група… і більше ні про що не хвилюєшся! Львів",,"Автобус, зустріч, група… і більше ні про що не хвилюєшся! Львів. 05:30 – виїзд зі Львова. Проходження кордону. 12:00 – Оглядова екскурсія «Королівський Краків». Своєю неповторністю місто зобов’язане чудовій архітектурі, яка відноситься ще до тих часів, коли Краків був столицею, а Вавель – родовим гніздом польських королів. Водночас Краків затишне і «домашнє» місто. Переїзд, поселення і ночівля в готелі.",406
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,2,"Альпи, Альпи, озера і … безтурботна Італія! Сніданок",,"Альпи, Альпи, озера і … безтурботна Італія! Сніданок. Виселення з готелю. Переїзд австрійським регіоном Каринтія з неймовірними панорамами Альпійських гір. Зупинка на фотопаузу з панорамою на озеро Вертерзее . Переїзд в Італію. Оглядова екскурсія «Тревізо – батьківщину тірамісу». Ми прогуляємось площею Лордів, місточками через водні канали, усміхатимемось італійцям, замовляючи те саме справжнє каппучінко, відвідаємо джелатерію La Dolce, де пропонують неймовірні смаки морозива від шоколадно-імбирного до кавово-фісташкового. Переїзд і ночівля в готелі.",556
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,3,"Їж, молись, люби! Сніданок",У вільний час рекомендуємо відвідати «Вічні цінності Ватикану» (60€); або «Рим у кадрах кінофільмів» (25€),"Їж, молись, люби! Сніданок. Виселення з готелю. Переїзд і прибуття до столиці Італії. Оглядова екскурсія «Рим – вічне місто на семи пагорбах» , до якого, як відомо, ведуть усі дороги. Ми будемо гуляти бруківкою, яка пам’ятає гладіаторів, замовимо освіжаючий апероль і капрічозу у піццерії, де обідала Джулія Робертс в натхненному фільмі «Їсти, молитися, кохати». У вільний час рекомендуємо відвідати «Вічні цінності Ватикану» (60€) або «Рим у кадрах кінофільмів» (25€). Про римських ангелів і демонів, про код і тіні, римські пригоди і канікули – тут було знято велика кількість фільмів, в тому числі",600
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,4,Тут гармонія… Морське узбережжя Амальфі,льфі (25€ кораблик) Рекомендуємо екскурсію «Амальфі – кохання з першого погляду» (25€); У вільний час рекомендуємо відвідати білосніжне Позітано (35€),"Тут гармонія… Морське узбережжя Амальфі. Сніданок. Виселення з готелю. Прибуття в Салерно. Їдемо відпочивати на морське узбережжі Амальфі (25€ кораблик) Рекомендуємо екскурсію «Амальфі – кохання з першого погляду» (25€). Обіцянка вишуканої краси, лимонної свіжості, райського куточку, де можна знайти гармонію і відпочити душею. Ми будемо насолоджуватись пейзажами, коли дороги між будиночками нависають над кобальтово-синіми водами Тірренського моря, а мальовничі будиночки — наче приклеєні до стрімких гірських схилів. Відокремлені бухти, лимонні сади, оливкові гаї, усмішки італійців відображають ",600
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,5,Тут казково… Морське узбережжя Апулії,Рекомендуємо «Незабутню подорож в Апулію» (80€),"Тут казково… Морське узбережжя Апулії. Сніданок. Рекомендуємо «Незабутню подорож в Апулію» (80€) – найсхіднішу область Італії з центром в місті Барі, яка омивається Адріатичним та Іонічним морями і має найдовшу берегову лінію серед континентальних областей. Прибуття в Поліньяно-а-Маре – це не пляж, а легенда, розтиражована сотнями тисяч зображень. Справді, дивитися на нього – це візуальне задоволення, з яким мало що зрівняється. Все влаштовано так: спочатку старовинний віадук, через який проглядається блакить моря. Потім – височенні, метрів 30, скелі, в яких влаштовані будинки, а між ними – бе",600
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,6,Тут колоритно,"У вільний час рекомендуємо: відвідати Сорренто (35€); , древні Помпеї під вулканом Везувій (40€); або здійснити круїз на смарагдовий острів Капрі (60€)","Тут колоритно. Морське узбережжя Кампанії. Сніданок. Виселення з готелю. Переїзд у гамірний Неаполь. «Відчути і полюбити» – екскурсія містом, яке вважається одним з найсуперечливіших в Італії – хтось залишається від нього в захваті, хтось заприсягається більше ніколи туди не повертатися, а хтось взагалі боїться їхати, бо люблять тут говорити про італійську мафію. Під час нашої екскурсії ми переконаємо вас, що Неаполь можна і варто любити. У вільний час рекомендуємо: відвідати Сорренто (35€), древні Помпеї під вулканом Везувій (40€) або здійснити круїз на смарагдовий острів Капрі (60€) Переїзд ",600
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,7,Натхнення по-італійськи Переїзд у Флоренцію,Дорогою відвідання інста-локації в Тоскані (20€); сто з висоти пташиного польоту запрошуємо на екскурсію «Дотик до струн її серця» (25€),"Натхнення по-італійськи Переїзд у Флоренцію. Дорогою відвідання інста-локації в Тоскані (20€). Оглядова екскурсія «Флоренція – місто великих майстрів» , символ епохи Відродження, де жили і творили справжні генії. Флоренція – це “Давид” Мікеланджело, “Венера” Боттічеллі і таємниці сімейства Медічі. У вільний час рекомендуємо прогулятись по набережній Арно, зазирнути до ювелірів на Понте Веккйо, а щоб побачити місто з висоти пташиного польоту запрошуємо на екскурсію «Дотик до струн її серця» (25€). Переїзд і ночівля в готелі.",529
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,8,Пелюстки романтики Пелюстки романтики Виселення з готелю,Рекомендуємо водний круїз по Гранд Каналу (40€); або прогулянку на гондолі (35€),"Пелюстки романтики Пелюстки романтики Виселення з готелю. Оглядова екскурсія «Симфонія краси та романтики – Венеція» (квиток на катер-30€). Цими вуличками гуляли мудрі Дожі, під мостами змінювались династії гондольєрів, в маленьких двориках ховались таємно-закохані, а над площею Сан Марко витав і досі витає дух свободи. Зануримось і ми в цю неймовірну атмосферу. Рекомендуємо водний круїз по Гранд Каналу (40€) або прогулянку на гондолі (35€) Переїзд і ночівля в готелі.",472
https://travelroom.lviv.ua/tour/308-spo/,Формула краси + три узбережжя Італії,9,"День вдячності за все, а особливо ЗСУ що можемо жити, працювати і декілька днів відпочити Сніданок",,"День вдячності за все, а особливо ЗСУ що можемо жити, працювати і декілька днів відпочити Сніданок. Виселення з готелю. Дорогою в Україну ми зробимо зупинку в Тарнуві , щоб випити кави в затишному кафе, зайти до супермаркету, прогулятись вуличками і насолодитись атмосферою спокійного міста. Ми віримо, що скоро таким затишним і спокійним буде кожне місто нашої України. З новими силами, з позитивними емоціями і ще міцнішою вірою в нашу перемогу ми повернемось в Україну. 23:00-02:00 – Прибуття у Львів. До нових зустрічей!",524
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,1,05:30 – виїзд зі Львова,,"05:30 – виїзд зі Львова. Проходження кордону. Переїзд територією Польщі та Чехії. 15:30 – Прибуття в Остраву – третє за величиною місто Чехії з затишним і приємний центром. Вільний час для прогулянки, шопінгу та чеських смаколиків. Переїзд, поселення і ночівля в готелі.",270
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,2,Сніданок,Рекомендуємо водний круїз по Гранд Каналу (40€); або прогулянку на гондолі (35€),"Сніданок. Виселення з готелю. Дорогою до моря ми будемо милуватись красою Альпійських гір. Ми зробимо зупинку на озері Вертерзе і переїжджаємо в Італію. Оглядова екскурсія «Симфонія краси та романтики – Венеція» (квиток на катер-30€). Цими вуличками гуляли мудрі Дожі, під мостами змінювались династії гондольєрів, в маленьких двориках ховались таємно-закохані, а над площею Сан Марко витав і досі витає дух свободи. Зануримось і ми в цю неймовірну атмосферу. Рекомендуємо водний круїз по Гранд Каналу (40€) або прогулянку на гондолі (35€). Переїзд, поселення і ночівля в готелі. Переїзд, пізнє посел",600
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,3,Сніданок,,"Сніданок. Виселення з готелю. Рекомендуємо побачимо місто унікальної краси – Чівіта-ді-Баньореджо (трансфер-30€), яке невдовзі щезне з мапи світу. Щороку кількість мешканців міста зменшується, а скеля, на якій воно утворилась – руйнується. Ніщо не вічне? Від міста, яке руйнується, до міста, яке стоятиме вічно. 18:00 – Оглядова екскурсія «Помпезний Рим» . Ми будемо гуляти бруківкою, яка пам’ятає гладіаторів, загадаємо бажання, на пяцца Навона замовимо освіжаючий апероль і капрічозу у піццерії, де обідала Джулія Робертс в натхненному фільмі «Їсти, молитися, кохати». Переїзд, поселення і ночівля ",600
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,4,Сніданок,льфі (25€ кораблик) Рекомендуємо екскурсію «Амальфі – кохання з першого погляду» (25€); У вільний час рекомендуємо відвідати білосніжне Позітано (35€),"Сніданок. Виселення з готелю. Прибуття в Салерно. Їдемо відпочивати на морське узбережжі Амальфі (25€ кораблик) Рекомендуємо екскурсію «Амальфі – кохання з першого погляду» (25€). Обіцянка вишуканої краси, лимонної свіжості, райського куточку, де можна знайти гармонію і відпочити душею. Ми будемо насолоджуватись пейзажами, коли дороги між будиночками нависають над кобальтово-синіми водами Тірренського моря, а мальовничі будиночки — наче приклеєні до стрімких гірських схилів. Відокремлені бухти, лимонні сади, оливкові гаї, усмішки італійців відображають істинний італійський колорит. Екскурсія т",600
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,5,Сніданок,Переправа на паромі (25€); У вільний час рекомендуємо на вибір: – Трансфер на пляж Lido Azzurr o (10€); – «Античні Сиракузи» (50€),"Сніданок. Виселення з готелю. Переїзд на південь Італії. Прибуття у Вілла-Сан-Джованні. Переправа на паромі (25€) Ласкаво просимо на Сицилію! Оглядова екскурсія «Катанія – місто контрастів» , яке кілька разів було поховано під товстим шаром лави та попелу і щоразу відбудовувалось заново. Катанія знаходиться у підніжжі гори Етна, і цей активний вулкан-розбишака – один із символів Сицилії. У вільний час рекомендуємо на вибір: – Трансфер на пляж Lido Azzurr o (10€) – узбережжя з красивою золотою косою м’якого піску, яка простягається на багато кілометрів, а тепле Середземне море ніжно обіймає пол",600
https://travelroom.lviv.ua/tour/418/,Вічне літо Сицилії,6,Сніданок,Рекомендуємо екскурсію «Палермо – сонячна столиця Сицилії + магічне Чефалу» (80€); У вільний час в Палермо рекомендуємо трансфер на пляж Монделло (15€),"Сніданок. Вільний час на острові Сицилія. Рекомендуємо екскурсію «Палермо – сонячна столиця Сицилії + магічне Чефалу» (80€). Ми побачимо вілли, що потопають у зелені, Кафедральний собор Палермо, що увібрав у себе елементи різних архітектурних стилів – готики, мавританські манери та класицизм, найбільший в Італії театр з ідеальною акустикою, Фонтан сорому і переконаємось, що багатство сицилійського бароко не має аналогів у світі. У вільний час в Палермо рекомендуємо трансфер на пляж Монделло (15€), де білий пісок як палітра для сонця, хмар та моря, що переливаються від бірюзового до смарагдовог",600
