URL туру,Назва туру,День №,Місто/Локація,Активності (теги),Опис дня,Симв.
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,1,Львів/Польща,виїзд зі львова; переїзд до польщі; знайомство; ніч в готелі; Тур у Амстердам,"Зверніть увагу, що потяги зараз можуть затримуватись, тому радимо планувати прибуття до місця виїзду за 10 годин, а в ідеалі — за добу до старту туру.
06:00 Збір групи у Львові / 06:30 Виїзд зі Львова
Вітаємо вас у подорожі! Протягом наступних кількох днів ми відвідаємо одні з найколоритніших міст Європи, познайомимося з їхньою історією, архітектурою та атмосферою.
Зручно вмощуйтеся в автобусі, знайомтеся з іншими учасниками подорожі та налаштовуйтеся на приємну мандрівку — наша пригода починається!
Вирушаємо у напрямку кордону.
У разі швидкого проходження кордону пропонуємо коротку прогулянку Вроцлавом разом із місцевим жителем. Під час екскурсії ви побачите чарівні куточки міста: ринкову площу, відомі вроцлавські гномики, старовинні будинки та мальовничі канали. Кожна вулиця тут має свою історію, яку цікаво відкривати під час подорожі. Вартість екскурсії — 15 євро.
Ночівля у готелі.
*Оскільки через воєнний стан багато людей опинилась в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",1054
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,2,Берлін,ПРИБУТТЯ В БЕРЛІН; оглядовка з локалом; прогулянка; ВІЛЬНИЙ ЧАС; секретні місця Берліна; нічний переїзд до Гааги; Тур у Берлін,"Сніданок та виселення з готелю.
Переїзд до Берліна. Guten Morgen — ми на місці! Відразу вирушаємо знайомитися з містом разом із локальним гідом. Креативний, динамічний і відкритий — саме таким постає Берлін перед своїми гостями. Це місто поєднує історію та сучасність, свободу самовираження та особливу атмосферу творчості.
Пропонуємо вирушити на прогулянку «іншим» Берліном. Ми побачимо стріт-арт знаменитого району Kreuzberg, клубну милю, Берлінську стіну та почуємо історію створення найдовшої галереї просто неба у світі — East Side Gallery. Під час прогулянки познайомимося не лише з відомими місцями міста, а й з його менш туристичною стороною — дізнаємося, де місцеві мешканці п’ють ранкову каву, обідають і проводять вечори. Вартість прогулянки — 25 євро.
Також пропонуємо приєднатися до нашого бестселера — авторської прогулянки від локального гіда «Berlin Secret Places». Програму ми спеціально залишаємо в секреті — усі деталі ви дізнаєтесь вже під час екскурсії. Це чудова можливість побачити місто з несподіваного боку та відкрити для себе місця, про які знають не всі туристи. Вартість — 20 євро.
Усі допки не обов'язкові, і ти самостійно вирішуєш, відвідувати їх чи ні.
Нічний переїзд до Амстердама.",1214
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,3,Амстердам,ПРИБУТТЯ В амстердам; Прогулянка з місцевим жителем,"Вранці робимо зупинку на сніданок та ароматну каву. Сповнюйся енергією, адже попереду дуже насичений день.
Після прибуття — оглядова прогулянка Амстердамом разом із локальним гідом.Це місто надихає. Канали, човни, квіткові ринки, яскраві вузенькі будинки, аромат свіжої випічки та кави на березі води. Тут майже кожен куточок нагадує живий музей. Ми прогуляємося мальовничими вуличками, почуємо історії про життя місцевих, відчуємо атмосферу цього особливого міста, де мистецтво, свобода та енергія гармонійно поєднуються.
Також пропонуємо відкрити для себе атмосферу елегантної Гааги. Разом із місцевим гідом ти побачиш старовинні площі, мальовничі канали та затишні куточки міста. Під час прогулянки почуєш цікаві історії про королівську родину та повсякденне життя голландців. Вартість — 45 євро.
Далі пропонуємо факультативну прогулянку на велосипедах віддаленими куточками Амстердама. Це можливість побачити місто очима місцевих — канали без натовпів туристів, парки, невеликі дворики та затишні райони, де життя тече спокійно й розмірено. Вартість — 35 євро (включає оренду велосипеда на 4 години).
Усі додаткові екскурсії не є обов’язковими — ти сам вирішуєш, як провести цей день.
Переїзд і ніч у готелі.",1212
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,4,Амстердам,село Волендам,"Сніданок у готелі. Сьогодні в тебе вільний день в Амстердамі — саме час відчути місто у своєму ритмі.Погуляй мальовничими каналами, зазирни до музею Ван Гога чи Rijksmuseum, скуштуй свіжі stroopwafels і насолоджуйся атмосферою вуличних музикантів і вільнодумства, яким живе Амстердам.
А для охочих пропонуємо поїздку до Заансе-Сханс та Волендам. Хочеш побачити Голландію з листівок? Погнали в селище Заансе-Сханс! Тут на нас чекають старовинні діючі вітряки, майстерні, де виготовляють традиційні дерев’яні черевики-кломпи, і затишні зелені пейзажі, що виглядають як живопис.Обов’язково заїдемо у рибальське село Волендам, щоб скуштувати легендарний оселедець (він тут справді особливий!) і зробити круті фото на фоні рибальських човнів та моря.Вартість поїздки – 35 євро.
Вечірній Амстердам відкриває зовсім інше обличчя міста — яскраве, суперечливе та сповнене історій. Під час пішохідної прогулянки легендарним кварталом De Wallen ми зануримося в атмосферу одного з найвідоміших районів Європи. Дізнаємося про культуру амстердамських кофішопів і особливе ставлення міста до легких наркотиків, поговоримо про нічне життя, яке перетворює вузькі вулиці та канали на сцену яскравих вогнів і людських історій, почуємо легенди та маловідомі факти про події й персонажів Червоного кварталу, а також побачимо, як живуть люди, для яких цей район є домом і роботою. На кілька хвилин зазирнемо до колоритного Amsterdam Chinatown, де азійські традиції несподівано переплітаються з європейською історією. Ця прогулянка дозволить побачити Амстердам з іншого боку — відвертий, багатогранний і сповнений історій, про які рідко пишуть у путівниках.  Вартість – 25 євро.
Усі додаткові екскурсії не є обов’язковими — ти сам вирішуєш, як провести цей день.
Нічний переїзд в Прагу.",1763
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,5,Прага,прибуття в прагу; оглядовка з локалом; Празький Град; вільний час у Празі; ОБІД НА КОРАБЛИКУ; ніч в готелі; Тур у Прагу,"Зупинка на сніданок та ранкову каву по дорозі до Праги.
Нас вже чекає локал, який покаже найцікавіші місця Праги. Під час прогулянки  познайомимося з середньовічною архітектурою, відкриємо найкращі споти з краєвидами та послухаємо захопливі історії про місто. Звісно, не оминемо місцеві кафешки та паби – куди ж без чеського пива!
У вільний час поїдемо у Празький Град – найбільшу королівську резиденцію у світі! Тут і величний палац, і резиденція президента, і крута пивоварня 13 століття. А ще – найкращі оглядові майданчики міста, з яких Прага буде як на долоні. Вартість прогулянки – 20 євро.
А ввечері в нас особливий план! Запрошуємо на вечерю-круїз по Влтаві. Уяви: смачна їжа, келих вина, вогні вечірньої Праги та шум хвиль. Кращого завершення дня (та і подорожі загалом) і не вигадаєш. Вартість обіду на кораблику – 40 євро.
Усі допки не обов'язкові, і ти самостійно вирішуєш, відвідувати їх чи ні.
Ніч у готелі.",921
https://eurotrips.ua/weekend-amsterdam/,Вікенд у Амстердамі + Берлін і Прага,6,Львів/Польща,ПРИБУТТЯ ДО ЛЬВОВА,"Сніданок в готелі. Виселення та переїзд до України Прибуття до Львова орієнтовно о 23:50. Ділимося емоціями та плануємо наступну подорож разом :)
Якщо тобі потрібно підказати, як краще дістатися до точки збору з твого міста та повернутися назад — просто повідом про це нашого менеджера.
* Ціни на додаткові активності можуть незначно змінюватися залежно від сезону або інших незалежних від нас обставин.
** Час прибуття до Львова — орієнтовний, тому не рекомендуємо купувати квитки на зворотний потяг.",501
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,1,Львів,ЗБІР ГРУПИ; ЗНАЙОМСТВО; ігри в автобусі; переїзд у Ригу,"Зверніть увагу, що потяги зараз можуть затримуватись, тому радимо планувати прибуття до місця виїзду за 10 годин, а в ідеалі — за добу до старту туру.
Цей тур без нічних переїздів.
Наша подорож починається! В цьому турі ми підібрали автобус і готелі вищого рівня, та розробили програму, яка буде комфортною для наймолодших мандрівників будь-якого віку і досвіду.
Непохитна основа всіх наших турів: знайомства і спілкування зі ""своїми"" людьми, повне перезавантаження внутрішніх батарейок, свобода для імпровізації та здійснення особистих бажань.
Переїзд в готель в Каунасі (Литва).
*Оскільки через військовий стан багато людей опинились в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",740
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,2,Рига,Рига; прогулянка з локалом; Beer Bike; ніч в готелі,"Сніданок у готелі та виселення. Після сніданку в готелі вирушаємо до Риги — чарівної столиці Латвії.
На нас чекає оглядова прогулянка з локалом (входить у вартість туру). Прогуляємося затишними вуличками старого міста, побачимо легендарний Будинок Чорноголових, величний Домський собор та кумедний пам’ятник Бременським музикантам. Кожна зупинка тут — мов кадр зі святкової листівки.
Після екскурсії матимемо час для самостійних прогулянок.
У другій половині дня вирушаємо далі — у напрямку Таллінна. Ввечері заселяємося до готелю та відпочиваємо перед новими враженнями.
Ночівля в готелі в Таллінні.",600
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,3,Таллінн + пором,переїзд у Таллінн; круїзний лайнер до Стокгольма,"Сніданок у готелі та виселення.
Далі на нас чекає оглядова прогулянка по Таллінну з локалом(входить у вартість туру).
Прогуляємось середньовічним старим містом: побачимо колоритний провулок Катаріни, ратушну площу, найстарішу аптеку Європи, таємничий Датський дворик і піднімемося на два мальовничі оглядові майданчики, звідки відкривається казковий краєвид на Таллінн. Атмосфера міста ніби переносить у середньовіччя.
Після цього пропонуємо допку — “Сучасний Таллінн” (25 € / 15 €). Це абсолютно інша сторона міста: колишні заводи та склади перетворилися на арт-простори, стильні кав’ярні та бари. Ми прогуляємось кварталом із муралами, заїдемо на локальний маркет, скуштуємо сучасні естонські смаки та зробимо кілька атмосферних фото.
Після екскурсії бажаючі зможуть відвідати Морський музей Lennusadam.  Це один з найсучасніших морських музеїв Європи, розташований у старовинному ангара для гідролітаків. Усередині — підводний човен, справжній гідролітак, старовинні кораблі, безліч інтерактивів і виставок, які цікаві і дорослим, і дітям. Якщо вам цікаво побачити техніку в дії, зануритись у морську історію або просто гарно провести час — це місце справді варте уваги. Вартість — 25 євро + вхідний квиток.
У другій половині дня вирушаємо в порт. Заселяємось у каюти на поромі та готуємось до нових вражень. О 18:00 наш корабель вирушає у напрямку Стокгольма. Вечір на борту — це дискотеки, бари, магазини duty free та скандинавська атмосфера круїзу",1453
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,4,Стокгольм + пором,атмосфера північної столиці; прогулянка з локалом; затишок і хьюге; допка в метро,"Сніданок на поромі (оплачується додатково 20 €), після чого ми прибуваємо до Стокгольма о 10:30.
Пропонуємо автобусну прогулянку містом з фотопаузами ""Більше про Стокгольм"" (30 € / 20 €), під час якої ви побачите головні визначні пам’ятки столиці Швеції:
Ратушу, де щороку відбувається урочиста банкетна церемонія Нобелівської премії
Шикарна панорама на озеро Меларен, яке через протоку з'єднується з Балтійським морем.
Потім на нас чекає пішохідна оглядова прогулянка з локалом по району Gamla Stan (входить у вартість туру). Прогулянка старими вуличками та центральними площами міста дозволить відчути його неповторну атмосферу та скандинавський шарм.
Далі вільний час для самостійних прогулянок, обіду чи шопінгу.
О 15:30 вирушаємо назад у порт, а о 17:30 наш пором відправляється до Таллінна. Вечір на борту — час для відпочинку, барів та розваг.
Друга ніч на поромі.",871
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,5,Вільнюс,прогулянка з локалом; магічна атмосфера; богемний район Ужупіс,"Сніданок на поромі (оплачується додатково 20 €), після чого о 10:45 прибуваємо в Таллінн. Вихід з порома та переїзд до Вільнюса.
По приїзду заселяємося в готель і готуємось до вечірніх вражень. Пропонуємо оглядову прогулянку по Вільнюсу з локалом (20 € / 15 €), під час якої ви побачите старе місто, центральні площі та дізнаєтеся цікаві факти про столицю Литви.
Після прогулянки повернення в готель. Для тих, хто бажає продовжити вечір, є можливість відвідати вечірку, нічний клуб або танцпол у Вільнюсі.
Ночівля в готелі у Вільнюсі.",534
https://eurotrips.ua/baltijskyj-kruyiz/,Балтійський круїз БЕЗ НІЧНИХ,6,Львів,Переїзд додому; ПРИБУТТЯ ДО ЛЬВОВА; обійми; ПЛАНУВАННЯ НОВОЇ ПОДОРОЖІ,"Сніданок у готелі та виселення. Після сніданку в готелі пропонуємо для бажаючих відвідати Тракайський замок та панораму на п""ять озер (25 €). Це чудова можливість зробити останні яскраві фото та відчути атмосферу історичної Литви.
Після цього виїзд з Вільнюса та переїзд до Львова з проходженням кордону.
Повернення до Львова вже після опівночі (орієнтовно о 02:00)",365
https://eurotrips.ua/venecziya-bez-nichnyh/,Венеція БЕЗ НІЧНИХ,1,Львів,збір групи; переїзд до Словенії; ніч в готелі,"Зверніть увагу, що потяги зараз можуть затримуватись, тому радимо планувати прибуття до місця виїзду за 10 годин, а в ідеалі — за добу до старту туру.
06:00 Збір групи у Львові / 06:30 Виїзд зі Львова
Італійська подорож розпочинається! Ми не просто їдемо досліджувати нові місця, ми вирушаємо святкувати Новий рік у Венецію. Жодної передсвяткової метушні на кухні чи прибирання – лише класна атмосфера, загадування бажань з просеко, ілюмінації та повна фелічіта!
Поки що займай місце в автобусі, відпочивай та знайомся з новими друзями. Хто знає — можливо, саме з цієї поїздки розпочнеться твій найкращий рік?
Заселення в готель у Словенії.
*Оскільки через воєнний стан багато людей опинились в різних країнах, ми індивідуально підкажемо кожному як приєднатись до туру (з України чи з-за кордону).",797
https://eurotrips.ua/venecziya-bez-nichnyh/,Венеція БЕЗ НІЧНИХ,2,Любляна / Венеція,Прогулянка з локалом по Любляну; переїзд у Венецію,"Сніданок та виселення з готелю.
Ранок проведемо в Любляні – затишній європейській столиці, яка уособлює той самий slow living. Разом із локалом прогуляємося містом, насолоджуючись казковою архітектурою. Побачимо Потрійний міст, заглянемо на головну площу та оберемо місце з ідеальним видом, аби випити гарячого шоколаду.
А потім вирушаємо у Венецію!
Заселяємося в готель.
Ніч у готелі.
Усі додаткові активності (далі – допки) не обов'язкові, і ти самостійно вирішуєш, відвідувати їх чи ні.",489
https://eurotrips.ua/venecziya-bez-nichnyh/,Венеція БЕЗ НІЧНИХ,3,Венеція | Бурано,ЯСКРАВИЙ ОСТРІВ БУРАНО; Гранд канал; ВЕЧЕРЯ З АПЕРОЛЕМ,"Сніданок у готелі.
Розпочнемо день зі знайомства з Венецією — локал уже чекає на нас, щоб провести найгарнішими місцями міста. Нікуди не поспішаючи, будемо гуляти серед близько 150 каналів, з’єднаних 409 мостами. Пройдемося вздовж Гранд-каналу, дізнаємося, де роблять найкраще тірамісу, і зробимо фото біля палаццо, які зазвичай бачимо лише на листівках.
Далі пропонуємо відчути себе героями фільму «Турист» із Анджеліною Джолі та Джонні Деппом — викличемо знамените водне таксі та естетично прокатаємося головною артерією Венеції, Гранд-каналом. Вартість — 35 євро.
Якщо хочеться яскравих кольорів, вирушимо на острів Бурано — тут безліч атмосферних різнокольорових будинків, менше туристів, а кожна вуличка — ідеальний інста-ракурс. Вартість виїзду на острів — 40 євро.
Увечері — вільний час для прогулянки набережною, пошуку ресторанчика з домашньою пастою та келиха за чудову подорож. Cheers!
Ніч у готелі.",910
https://eurotrips.ua/venecziya-bez-nichnyh/,Венеція БЕЗ НІЧНИХ,4,Будапешт,Прогулянка з локалом; вільний час; прогулянку на кораблику з безлімітним просеко; нічний Будапешт; ніч у готелі,"Сніданок в готелі та виселення.
Наступна зупинка нашої подорожі – Будапешт. Після прибуття вирушаємо на автобусно-пішохідну прогулянку з локалом. Побачимо Рибацький бастіон, зробимо ""те саме"" фото з видом на Парламент, заглянемо у затишні дворики та дізнаємось, чому Будапешт вважається однією з найгарніших столиць Європи.
У вільний час вирушай досліджувати Будапешт. Тільки обіцяй не поспішати. Заглядай у дворики, прогуляйся вздовж Дунаю, зупиняйся, аби насолодитися моментом з келихом угорського вина, та відчуй ритм життя місцевих. Обов’язково заглянь у Будапештський Маркет Хол – найбільший ринок міста. Серед різноманіття автентичних закладів ти точно знайдеш, чим потішити свого внутрішнього гурмана. А у сувенірних лавках зможеш придбати небанальні подарунки для себе та близьких.
Ввечері запрошуємо тебе на прогулянку на кораблику з безлімітним просеко. Набережна запалюється вогнями і набуває зовсім іншого вигляду. Ось ми проїжджаємо Парламент і кожен намагається зробити найкраще фото. А потім ми забиваємо на ці ракурси і просто відпочиваємо з келихом просеко, повертаючись у стан безтурботності та задоволення. Ідеальне завершення святкової подорожі! Вартість прогулянки – 35 євро.
Ніч у готелі.",1210
