URL туру,Назва туру,День №,Місто / Локація,Факультативи (назва + ціна),Опис дня,Симв.
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,4,Сніданок.,,"Сніданок.
ВІДПОЧИНОК НА АДРІАТИЧНОМУ МОРІ
Ріміні славиться атмосферними ресторанами, де можна скуштувати місцеві делікатеси, як-от п ядіну романьйолу, пасту з рагу чи свіжі морепродукти. Увечері місто перетворюється на центр розваг із клубами, барами та концертами під відкритим небом. Для сімей з дітьми є тематичні парки, такі як ""Італія в мініатюрі"" та аквапарки.
Це місце, де кожен знайде щось для себе: від спокійного пляжного відпочинку до захопливих відкриттів і веселощів.
Вечеря. Ночівля.",497
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,5,Сніданок.,,"Сніданок.
ВІДПОЧИНОК НА АДРІАТИЧНОМУ МОРІ
Протягом відпочинку пропонуємо Вам : - поїздку через Аппеніни до Флоренції. (55&euro;/45&euro; +громадський транспорт ) Флоренція &mdash; це культурна столиця Тоскани та колиска Ренесансу, відома своєю унікальною архітектурою, мистецтвом і багатою історією. Місто вражає величним собором Санта-Марія-дель-Фьоре з його знаменитим куполом Брунеллескі, галереєю Уффіці, де зберігаються шедеври Боттічеллі та Леонардо да Вінчі, і старовинним мостом Понте Веккіо.Флоренція &mdash; це не лише мистецтво, а й гастрономічна насолода: тосканські вина, стейк ""фьорентина"" та автентичні італійські десерти. Її вузькі вулички, чарівні площі та атмосфера творчості роблять місто ідеальним для занурення в епоху Відродження та насолоди красою.
- столицю Емілії-Романьї - з",800
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,6,Сніданок.,,"Сніданок.
ВІДПОЧИНОК НА АДРІАТИЧНОМУ МОРІ
Вечеря. Ночівля.",58
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,7,Сніданок.,,"Сніданок.
Ранкове море найкраще. Перед виїздом до обіду насолоджуємся відпочинком на морі.
ВІДПОЧИНОК НА АДРІАТИЧНОМУ МОРІ
Збір групи. Перед виїздом додому займемся шопінгом!!! Трансфер до міста Новента-ді-П яве Аутлет McArthurGlen &mdash; це популярний торговий центр неподалік від Венеції, який пропонує широкий вибір брендових магазинів із знижками до 70%. Архітектура комплексу натхненна венеціанським стилем, що додає шопінгу особливого шарму. Тут можна знайти товари відомих міжнародних брендів, як-от Gucci, Prada, Michael Kors, Nike, та багатьох інших, включаючи італійські дизайнерські марки.
Окрім покупок, аутлет пропонує затишні кафе й ресторани, де можна скуштувати італійські делікатеси чи просто відпочити.
Виїзд до України.",739
https://rich-tour.com/?view=program&tour=italijska_mozaika_vid_shedevriv_venecii_do_pljazhiv_rimini,Сонячні пляжі Ріміні - Італія,8,"Слухаємо музику, дивимося фільми та ділимося враженнями &hellip;",,"Слухаємо музику, дивимося фільми та ділимося враженнями &hellip;
Ми їдемо додому. Прибуття до м. Львів",102
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,1,Ранковий збір групи у місті Львів (інформація про виїзд надається в інфолисті за декілька днів до поїздки),,"Ранковий збір групи у місті Львів (інформація про виїзд надається в інфолисті за декілька днів до поїздки)
Виїзд групи зі Львова (можливість приєднатись Стрию, Мукачево, Івано-Франківську, Чернівцях)
Транзит в Грецію.",217
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,2,Прибуття на море в Грецію . Олімпійська Рив єра простягається вздовж 70 км узбережжя і відрізняється своїм м яким клімат,,"Прибуття на море в Грецію . Олімпійська Рив єра простягається вздовж 70 км узбережжя і відрізняється своїм м яким кліматом, напрочуд красивими пляжами, одягненими в дрібний пісок та чисті води Егейського моря. Завдяки своєму географічному положенню - близько до гір, але, рятуючись від моря, температура влітку ніколи не буває гарячою, а вода завжди тепла, ідеальна для купання. Паралія Катеріні - найвідоміше місто на цій Рив єрі. Курорт проживає близько 1500 жителів, а пляж Катеріні користується відзнакою Блакитного прапора протяжністю 3 км і покритий піском. Курорт рясніє магазинами, пекарнями, тавернами, кафе, ресторанами та барами, дискотеками, тож у вас немає причин нудьгувати ...
Поселення на курорті Паралія-Катеріні.
Відпочинок на побережжі Егейського моря.
Вечеря.
Ночівля.",788
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,3,Сніданок. Побережжя Егейського моря може подарувати своїм гостям незабутні враження від знайомства з прекрасним і гармон,,"Сніданок. Побережжя Егейського моря може подарувати своїм гостям незабутні враження від знайомства з прекрасним і гармонійним світом Стародавньої Греції, зі славною історією Римської Імперії та з іншими епохами розвитку людства. Уздовж усього узбережжя розташовані риболовецькі порти, курорти, руїни стародавніх поселень, що свідчать про більш ніж п яти тисячолітню історію, культуру і міфологію. Час для відпочинку &hellip;
Відпочинок на побережжі Егейського моря.
Вечеря. Ночівля.",482
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,4,Сніданок.,,"Сніданок.
Відпочинок на побережжі Егейського моря.
Для бажаючих подорож-пригода на острів Скіатос (оплачується додатково).",122
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,5,Сніданок.,,"Сніданок.
Відпочинок на побережжі Егейського моря.
Можливість відвідати легендарне місце - Метеори (40 євро/35 євро, вхідний квиток оплачується додатково. Дітим до 12 років вхід безкоштовний) .",193
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,6,Сніданок,,"Сніданок
Відпочинок на побережжі Егейського моря.
Вечеря. Ночівля.",66
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,7,Сніданок.,,"Сніданок.
Відпочинок на побережжі Егейського моря.
Ви цей день у вас буде можливість поїхати в унікальне місце в північній Греції - Лутра Позар (термальні джерела Арідеї. 40 євро/30 євро + оплата за купання 2-3 євро) .
Вечеря. Ночівля.",235
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,8,Сніданок.,,"Сніданок.
Відпочинок на побережжі Егейського моря.
Вечеря. Ночівля.",67
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,9,Сніданок. Виселення з готелю.,,"Сніданок. Виселення з готелю.
В цей день ви зможете провести ще трохи часу на курорті, оскільки виїзд запланований на обідній час. Ви зможете ще покупатись в морі і позагаряти, прогулятись по сувенірних магазинах, пообідати чи зробити фотографії.
Відпочинок на побережжі Егейського моря.
Збір групи. Виїзд до України.",317
https://rich-tour.com/?view=program&tour=olimpijska_rivera__ostriv_skiatos,Море Греції - Олімпійська Рив’єра,10,Ї демо додому.,,"Ї демо додому.
По дорозі дивимось фільми, ділимось фотографіями та приємними спогадами з відпочинку;)
Прибуття до Львова (час залежить від проходження кордонів) .",162
https://rich-tour.com/?view=program&tour=podykh_adriatiki_%E2%80%93_chornogorija,Подих Адріатики – Чорногорія,1,06:00 &ndash; збір групи,,"06:00 &ndash; збір групи
06:20 &ndash; виїзд.
* Можливість доєднатись в Стрию та Мукачево.
Перетин кордону.
Переїзд в Чорногорію.",129
https://rich-tour.com/?view=program&tour=podykh_adriatiki_%E2%80%93_chornogorija,Подих Адріатики – Чорногорія,2,Прибуття на Південь Чорногорії - р-н м. Ульцин.,,"Прибуття на Південь Чорногорії - р-н м. Ульцин.
Ульцин &mdash; найпівденніше місто Чорногорії, де Середземномор&rsquo;я зустрічається зі східним колоритом. Це курорт, який зачаровує поєднанням стародавньої історії, яскравої культури та безкінечних піщаних пляжів, серед яких знаменитий Великий пляж &mdash; найдовший на Адріатиці. Старе місто Ульцина, розташоване на скелястому узбережжі, вражає вузькими вуличками, давніми мечетями та видом на безкрає море. Тут відчувається дух свободи й пригод, а захід сонця над морем дарує особливу магію. Ульцин &mdash; це місце, де кожен знайде свій куточок гармонії, натхнення та відпочинку.
ВІДПОЧИНОК НА АДРІАТИЧНОМУ УЗБЕРЕЖЖІ ПІВДЕННОЇ ЧОРНОГОРІЇ
Ночівля.",699
https://rich-tour.com/?view=program&tour=podykh_adriatiki_%E2%80%93_chornogorija,Подих Адріатики – Чорногорія,9,Сніданок.,,"Сніданок.
Саме час щоб попрощатися з морем &mdash; зробити останні фото, вдихнути солоне повітря та зберегти у пам&rsquo;яті спокійні хвилі курорту. Атмосфера легка та ностальгійна, адже попереду дорога додому, а за плечима &mdash; чудові дні відпочинку.
Виселення з готелю.
Збір групи.
Виїзд в сторону України.",311
https://rich-tour.com/?view=program&tour=podykh_adriatiki_%E2%80%93_chornogorija,Подих Адріатики – Чорногорія,10,Перетин кордону.,,"Перетин кордону.
По дорозі дивимось фільми, ділимось фотографіями та приємними спогадами з відпочинку.
Вечірнє прибуття до Львова.",130
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,1,Ранковий збір групи у м. Львів. Знайомство з керівником групи. Посадка в автобус,,"Ранковий збір групи у м. Львів. Знайомство з керівником групи. Посадка в автобус
Виїзд групи на кордон. Проходження кордону. Транзит по території Польщі і Чехії.
Поселення в готель на території Чехії. Ночівля.",209
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,2,Сніданок.,,"Сніданок.
Нас очікує в столиця Чехії.
Запрошуємо Вас на оглядову екскурсію &laquo;Місто тисячі шпилів&raquo; . Прага - романтична, казкова, приваблива, граціозна, такою її бачили навіть прості смертні, не кажучи вже про епітети геніїв, поетів, музикантів та митців. Ви відвідаєте знаменитий Карловий міст і серце Праги - Старомеська площа.
Вільний час: - для шопінгу - індивідуальної прогулянки вздовж інстаграмної набережної р. Влтава - дегустації чеської кухні
Для бажаючих пропонуємо факультативну екскурсію &laquo;Празький град &ndash; королівська резиденція&raquo; (20 &euro;). В и побуваєте в резиденції празьких королів та імператорів &ndash; Празькому граді. Перед Вами відкриється: Кафедральний собор Св.Віта, старий королівський палац, що являє собою великий комплекс з декількох архітектур",800
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,3,Прибуття до Парижу.,,"Прибуття до Парижу.
Мрії збуваються &ndash; Париж, Париж, Париж
Ласкаво просимо до міста романтики!
Оглядова екскурсія &laquo;Бонжур Париж&raquo; . Ви побачите знакові пам ятки Парижа, які обов язково варто відвідати в перший день подорожі: Єлисейський палац - символ Французької Республіки, знамениті Єлисейські поля і Тріумфальну арку, красивий міст Парижа, собор, в якому похований Наполеон I, і звичайно, легендарну Ейфелеву вежу. На прогулянці ви дізнаєтеся, чим може здивувати французька кухня, а також почуєте цікаві і навіть шокуючі історії з життя міста!
Запрошуємо на екскурсію на кораблику по річці Сена (22 &euro;). Сена &ndash; це не лише річка, а й головна вулиця міста. Відчути весь колорит і настрій міста можна з палуби прогулянкового катера. Ви будете насолоджуватись чудовими панор",800
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,4,Сніданок. Виселення з готелю,,"Сніданок. Виселення з готелю
Тільки Ви і Париж!
В цей день пропонуємо Вам відвідання: - місце дитячих фантазій Діснейленд (трансфер до парку розваг безкоштовно) &mdash; це не просто парк розваг, а ціла країна, яка займає 1943 гектари і умовно поділена на п ять &laquo;республік&raquo;: Країну Пригод &mdash; Adventureland, Країну Фантазій &mdash; Fantasyland, Країну Відкриттів &mdash; Discoveryland, """"Прикордонну країну"""" &mdash; Frontierland (&laquo;Дикий Захід&raquo;) і Головну вулицю &mdash; Main Street. ( квиток додатково орієнтовно 92Є діти та 105Є дорослі ) - Сад Тюїльрі . Популярне місце відпочинку приїжджих, оскільки сад знаходиться по дорозі з Лувру до Єлисейських полів і Тріумфальної арки. - Ейфелева вежа &ndash; величезна металева конструкція. Це найбільш впізнавана архітектурна п",800
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,5,Прибуття до столиці Саксонії &ndash; Дрездену.,,"Прибуття до столиці Саксонії &ndash; Дрездену.
Запрошуємо Вас на оглядову екскурсію ""Колиска на Ельбі - місто Дрезден"". Своїх відвідувачів з давніх давен Дрезден заворожує блискучим і захоплюючим поєднанням традицій та сучасності. Прогулюючись центром міста, з його колишньою Резиденцією саксонських курфюрстів і королів, видом на чудовий ландшафт Ельби, Ви відчуєте неповторний шарм &laquo;Флоренції на Ельбі&raquo; - міста мистецтва, старовинної витонченої архітектури, величезних музейних колекцій, оркестрів та хорів зі світовим ім ям.
Вільний час. Рекомендуємо:
- відвідати Дрезденську галерею (для дітей до 17 років вхід безкоштовний, дорослий квиток 14 евро), або Галерею старих майстрів , яка є основним музеєм палацового комплексу Цвінгер.
- ШОПІНГ в торгових центрах міста.
- некваплива про",800
https://rich-tour.com/?view=program&tour=parizh,Під небом Парижу,6,Сніданок.,,"Сніданок.
Виселення з готелю.
Слухаємо музику, дивимося фільми, ділимося враженнями&hellip; Ми їдемо додому!
Вечірнє прибуття.",126
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,1,Збір групи.,,"Збір групи.
Виїзд на кордон.
Перетин Україно-Польського кордону. По дорозі Можливість відвідати оглядову екскурсію у Вроцлаві (10 &euro;) .
Оглядова екскурсія старим містом Вроцлава - це захоплююча подорож в історію та культуру цього захопливого міста. Починаючи зі Старого Міста, де розташований чарівний Ринок, ви поринете в атмосферу середньовіччя.
Вроцлав - це місто, де історія зливається з сучасністю, створюючи унікальну атмосферу. Екскурсія старим містом Вроцлава допоможе вам освоїти цю величну частину міста та відкрити перед вами безліч чудових моментів.
Переїзд в транзитний готель на території Польщі.
Поселення в готель.
Ночівля в готелі.",652
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,2,Сніданок.,,"Сніданок.
Виселення з готелю.
Переїзд в Берлін.
Запрошуємо на пішохідну екскурсію містом. Берлін - місто контрастів . Його з упевненістю можна назвати одним з найдивовижніших та найяскравіших міст Європи. Кожен, хто приїжджає до Берліна, так чи інакше неминуче потрапляє під магічну чарівливість цього міста, його живого і невимушеного шарму. Колишня столиця Пруссії, &laquo;Третього Рейху&raquo;, НДР а нині &ndash; об єднаної Німеччини, місто театрів і музеїв, &laquo;полігон архітектури&raquo;. Прекрасні парки та величні барочні замки створюють неповторну атмосферу і нагадують про його велич. Рейхстаг та Бранденбурзькі ворота, та Кафедральний собор.
На обід рекомендуємо відвідати знаменитий- Хоффбройхаус . Оригінальна баварська пивоварня з величезною філією в Берліні. Саме тут традиційно вдя",800
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,3,Сніданок.,,"Сніданок.
Виселення з готелю.
Переїзд в Амстердам.
Знайомимось з Амстердамом.
Запрошуємо Вас на оглядову екскурсію містом ""Амстердам - місто контрастів"" (15&euro;) , місто багатонаціональної культури і кухні. Канали, вузькі вулички, типові голландські будинки, кофешопи, вулиця Червоних ліхтарів, алмази, музеї ... Центральний залізничний вокзал, вулиця Дамрак і біржа Берлаге, площа Дам, Національний монумент, Королівський палац, Нова церква, музей Мадам Тюссо, Калверстраат, дворик Бегинок, Амстердамський Історичний музей, квітковий ринок, Мунтторен, площа Рембрадта, Блакитний і Худий міст, Ермітаж на Амстел , Ватерлоо плейн, будинок Рембрандта, Пінтохаус, Південна церква, стара церква, Вежа плачу, стара Вагова, Квартал Червоних ліхтарів, церква Святого Миколая і не тільки.
Вільний час.
Проп",800
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,4,Сніданок. Вільний день в Амстердамі. Пропонуємо відвідати:,,"Сніданок. Вільний день в Амстердамі. Пропонуємо відвідати:
""Голандсьса Провінція"" (35&euro;/30&euro;) Для початку запрошуємо Вас у містечко Заансе-Сханс &ndash; музей під відкритим небом, де збережена атмосфера XVII&ndash;XVIII століть. Тут ви побачите справжні діючі вітряки, традиційні дерев&rsquo;яні будиночки, а також майстерні, де виготовляють кломпи &ndash; дерев&rsquo;яні черевики, які стали символом Нідерландів. Тут можна скуштувати смачні місцеві сири та відчути дух старої Голландії. Далі наш шлях пролягатиме у Волендам &ndash; колоритне рибальське містечко на березі затоки Маркермер. Його мальовнича набережна, старовинні будиночки й затишні ресторанчики створюють неповторну атмосферу. Тут можна спробувати свіжі морепродукти, сфотографуватися у традиційному голландському костюмі та",800
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,5,Сніданок. Виселення з готелю. Сьогодні ми залишаємо гостинні Нідерланди вирушаємо в подорож до Німеччини. Нашою наступно,,"Сніданок. Виселення з готелю. Сьогодні ми залишаємо гостинні Нідерланди вирушаємо в подорож до Німеччини. Нашою наступною зупинкою стане Ганновер &ndash; сучасне й водночас історичне місто, відоме своїми прекрасними парками, площами та архітектурою.
На Вас чекає оглядова екскурсія містом , під час якої ми побачимо головні визначні пам&rsquo;ятки: розкішну Нову ратушу, мальовниче Старе місто з вузенькими вуличками та традиційними фахверковими будинками, а також знамениті сади Герренхаузен, що вважаються одними з найкрасивіших у Європі. Вільний час. Переїзд в транзитний готель на території Чехії.
Поселення в готель.",621
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,6,Сніданок. Виселення з готелю.,,"Сніданок. Виселення з готелю.
Прибуття до Праги.
Запрошуємо Вас на оглядову екскурсію &laquo;Місто тисячі шпилів&raquo; Прага - романтична, казкова, приваблива, граціозна, якою її означали навіть прості смертні, не кажучи вже про епітети геніїв десятків поетів, музикантів, митців душею і тілом. Ви відвідаєте знаменитий Карлів міст і серце Праги - Старомєська площа.
Вільний час .
У вільний час пропонуємо відвідати:
Збір групи.
Переїзд в транзитний готель.",458
https://rich-tour.com/?view=program&tour=v_gostjah_u_niderlandskoi_korony,В гостях у Нідерландської корони,7,Сніданок.,,"Сніданок.
Виселення з готелю.
Переїзд в культурну столицю Польщі - Краків.
На Вас очікує захоплююча екскурсія містом - &laquo;Королівський шлях&raquo; (10 &euro;).
Ви пройдетеся по тракту, по якому протягом багатьох століть проїжджали польські королі, місце де переплітаються легенди ... Найстаріша частина міста - Ринкова площа, один із найвідоміших університетів Європи - Ягелонський університет; середньовічний центр торгівлі - торгові ряди сукеніце, де Ви можете придбати сувеніри на пам ять про проведені тут хвилини&hellip; А діти отримають можливість побачити справжнього дракона, що дихає вогнем і поринути у середньовічну казку в стінах Вавельського замку &hellip;
Виїзд в сторону кордону.
Перетин кордону.
Вечірнє прибуття до Львова.",743
https://rich-tour.com/?view=program&tour=mrija_blogeriv,Мрія блогерів: Венеціанська Рив'єра + о. Браєс,1,Ранковий збір групи у місті Львів. Виїзд на україно-угорський кордон. Переїзд до Будапешту. На Вас очікує ознайомча авто,,"Ранковий збір групи у місті Львів. Виїзд на україно-угорський кордон. Переїзд до Будапешту. На Вас очікує ознайомча автобусна екскурсія &laquo;Скарби Будапешту&raquo;. (при умові швидкого проходження кордону)
Ви поринете у справжню казку - найбільша площа Європи, проспект, який називають &laquo;угорським Champs-&Eacute;lys&eacute;es&raquo;, побачите набережну Дунаю, яка занесена до Світової спадщини ЮНЕСКО: Парламент, панорама Королівського Палацу, Рибацького Бастіону. Фото-пауза на одній з найкрасивіших площ Європи. Нічний переїзд до Італії.",548
https://rich-tour.com/?view=program&tour=mrija_blogeriv,Мрія блогерів: Венеціанська Рив'єра + о. Браєс,2,"Прибуття до одного з найвідоміших міст у світі - романтичної Венеції! (проїзд громадським транспортом, пливемо кораблико",,"Прибуття до одного з найвідоміших міст у світі - романтичної Венеції! (проїзд громадським транспортом, пливемо корабликом -14&euro; в одну сторону).
Перше знайомство з Венецією &ndash; Королевою Адріатики, чарівним містом каналів і палаців&hellip; Немає сенсу описувати загальними фразами це місто куди ми відправляємось, побудоване на 118 островах, з єднане 400 мостами: єдине що варто додати що все, що ви чули про Венецію &mdash; правда! І канали замість вулиць у старому місті, і старовинні будівлі які пронизані дивовижною історією, і гондольєри &mdash; все це правда!
Запрошуємо на екскурсію - &laquo;Всі таємниці Венеції&raquo; . Венеція не схожа ні на одне із міст. Неважливо, скільки раз Ви бачили її в кіно чи рекламі, реальна Венеція виявиться більш казковою та сюрреалістичною, чим Ви мог",800
